Germany(via VPN),#genre#
a.tv (Augsburg),https://augsburgtv.iptv-playoutcenter.de/augsburgtv/augsburgtv.stream_1/playlist.m3u8
ALEX Berlin,https://alex-stream.rosebud-media.de/live/alexlivetv40.smil/playlist.m3u8
allgäu.tv,https://stream01.welocal.stream/stream/fhd-allgaeutv_25679/ngrp:stream_all/playlist.m3u8
Baden TV,http://cdn.icu.de/rtplive/btv.stream/playlist.m3u8
BLKonline TV Burgenlandkreis (Sachsen-Anhalt),https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:BLKonline_high/master.m3u8
Chemnitz Fernsehen,https://chemnitz.iptv-playoutcenter.de/chemnitz/chemnitzfernsehen.stream_1/playlist.m3u8
Dresden Fernsehen,https://dresden.iptv-playoutcenter.de/dresden/dresdenfernsehen.stream_1/playlist.m3u8
ems TV,http://62.113.221.6/ev1tv-live/livestream/master.m3u8
erzTV Erzgebirge,https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/chunklist_w585202401.m3u8
Filstalwelle (Göppingen),http://62.113.210.2/filstalwelle-live/_definst_/mp4:livestream/master.m3u8
Franken Fernsehen,https://s3.welocal.world/frankenfernsehen/media/191627/videos/hls.m3u8
Hannover 1,https://5857499ee635b.streamlock.net/heinstv-live/_definst_/smil:livestream.smil/chunklist.m3u8
HauptstadtTV,https://stream04.welocal.stream/stream/fhd-hauptstadttv_107073/ngrp:stream_all/master.m3u8
KabelJournal,https://5acade5fc0c29.streamlock.net/kabeljournal/live2020.stream/playlist.m3u8
Kulturmd TV,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:kulturmd_high/master.m3u8
L-TV,https://58481b709ae2e.streamlock.net/tv2000plus-live/_definst_/mp4:ltv-live/playlist.m3u8
Lausitzwelle Fernsehen,https://5856e1a25f71a.streamlock.net/easycast9-live/_definst_/livestreamhd10/playlist.m3u8
Leipzig Fernsehen,https://leipzig.iptv-playoutcenter.de/leipzig/leipzigfernsehen.stream_1/playlist.m3u8
Mainfranken.tv,https://stream01.welocal.stream/stream/fhd-tvmainfranken_255661/ngrp:stream_all/master.m3u8
MDF 1,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:mdf1_high/playlist.m3u8
münchen.tv,https://muenchentv.iptv-playoutcenter.de/muenchentv/muenchentv.stream_1/playlist.m3u8
Niederbayern TV,https://stream03.welocal.stream/stream/sat-nby/ngrp:sat-nby.stream_all/master.m3u8
noa4 Hamburg HD,https://hls1.wtnet.de/noa4hh/apple/wifi6500.m3u8
noa4 Norderstedt HD,https://hls1.wtnet.de/noa4/apple/wifi6500.m3u8
nrwision,https://fms.nrwision.de/live/livestreamHD.stream_360p/playlist.m3u8
Oberpfalz TV,https://oberpfalztv.iptv-playoutcenter.de/oberpfalztv/oberpfalztv.stream_1/playlist.m3u8
OFTV (Offenbach),https://5864df9ceac85.streamlock.net/germanpictures-live/_definst_/mp4:streamschedule/playlist.m3u8?&ref=www.of-tv.de&seid=503585
OK Dessau,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-dessau_high/playlist.m3u8
OK Koblenz,https://s.ok54.de/abr_ok4/live/ok4/live_720p/chunks.m3u8
Ok Ludwigshafen,https://s.ok54.de/oklu/livestream/playlist.m3u8
OK Magdeburg,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-magdeburg_high/master.m3u8
OK Merseburg,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-merseburg_high/master.m3u8
OK naheTV offener Kanal (Bad Kreuznach/Idar-Oberstein),https://s.ok54.de/nahetv/webstream/playlist.m3u8
OK RheinLokal,https://s.ok54.de/rheinlokal/rheinlOKal_stream/playlist.m3u8
OK Salzwedel,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-salzwedel_high/master.m3u8
OK Stendal,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-stendal_high/master.m3u8
OK Trier,https://s.ok54.de/ott/webstream/playlist.m3u8
OK Wernigerode,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ok-wernigerode_high/master.m3u8
Oldenburg eins TV,https://www.oeins.de/live/studio.m3u8
Punktum SüdHarz,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:punktum_high/playlist.m3u8
RAN 1,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:ran1_high/chunklist.m3u8
RBW Wittenberg,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:rbw_high/chunklist.m3u8
RBW Regionalfernsehen Bitterfeld-Wolfen,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:rbw_high/chunklist.m3u8
RFH Regionalfernsehen Harz,https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:RFH_high/chunklist.m3u8
Regio TV Bodensee,https://regiotv-b.iptv-playoutcenter.de/regiotv-b/regiotv-b.stream_1/playlist.m3u8
Regio TV Schwaben,https://stream05.welocal.stream/stream/fhd-regiotv_182913/ngrp:stream_all/master.m3u8
Regio TV Stuttgart,https://regiotv-s.iptv-playoutcenter.de/regiotv-s/regiotv-s.stream_1/playlist.m3u8
RFO,https://stream01.stream.welocal.world/stream/fhd-rfo_66876/ngrp:stream_all/playlist.m3u8
rheinmaintv,https://586fb512206e4.streamlock.net/rheinmaintv-live/_definst_/mp4:livestream/playlist.m3u8
Rhein Neckar Fernsehen,https://rnf.iptv-playoutcenter.de/rnf/rnf.stream_1/playlist.m3u8
STUDIO 47,http://5852afe96c9bb.streamlock.net/studio47-live/_definst_/mp4:livestream/playlist.m3u8
Sylt1,https://5f7f7503aa549.streamlock.net/Sylt1_Channel_1_PGM/sylt1_high/master.m3u8
TVA (Ostbayern),https://tvaktuellr.iptv-playoutcenter.de/tvaktuellr/tvaktuellr.stream_1/playlist.m3u8
tv.berlin",https://58de7a369a9c4.streamlock.net/tvb/7649_7Bpr2XK4zCR6jNV/playlist.m3u8
TV Mittelrhein,https://live2.telvi.de/hls/tvm_hd720.m3u8
TVO (Oberfranken),https://tvoberfranken.iptv-playoutcenter.de/tvoberfranken/tvoberfranken.stream_1/playlist.m3u8
TV38 - Fernsehen zwischen Harz und Heide,http://62.113.221.3/tv38-live/_definst_/mp4:livestream/playlist.m3u8
Tide TV Hamburg,https://5889e7d0d6e28.streamlock.net/tide-live/_definst_/smil:livestream.smil/chunklist_w350625857_b1600000.m3u8?ref=www.tidenet.de&seid=403020
TV Ingolstadt,https://stream01.welocal.stream/stream/fhd-tvingolstadt_44349/ngrp:stream_all/master.m3u8
Weser TV,https://5857499ee635b.streamlock.net/radiowesertv-live/_definst_/mp4:livestreamTV/chunklist_w1389213573.m3u8
Westerwald TV,https://live2.telvi.de/hls/wwtv_hd720.m3u8
Seenluft24 Senftenberg,https://5856e1a25f71a.streamlock.net/easycast7-live/_definst_/mp4:livestreamhd20/chunklist.m3u8
ORF1,https://orf1.mdn.ors.at/out/u/orf1/q8c/manifest.m3u8
ORF2,https://orf2.mdn.ors.at/out/u/orf2/q8c/manifest.m3u8
ORF3,https://orf3.mdn.ors.at/out/u/orf3/q8c/manifest.m3u8
ORFSport,https://orfs.mdn.ors.at/out/u/orfs/q8c/manifest.m3u8
Dorf TV Linz,http://stream.openplayout.org/hls/dorf_high/index.m3u8
FS1 HD - Freies Fernsehen Salzburg,http://stream.fs1.tv:8080/hls/webstream.m3u8
M4TV,https://streaming.m4tv.at/live/ngrp:stream_all/master.m3u8
Okto,https://cdn3.wowza.com/1/MHFtazJReW5rOFhP/N2NWNDZ2/hls/live/playlist.m3u8
W24 TV,https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8
Tirol TV,http://lb.hd-livestream.de:1935/live/TirolTV/chunklist_w1178744335.m3u8
Tele Basel,https://cldf-wzw-live.r53.cdn.tv1.eu/10096xtelebase/_definst_/1000199copo/live/app510394368/w162136077/live_de_1500/master.m3u8
Tele Bärn,https://klive.kaltura.com/env/cluster-1-a.live.nvp1/live/hls/p/1719221/e/1_obr1n222/tl/main/st/0/t/_O-oCNON5VqA2aG8WYVDeg/index-s32.m3u8
Tele M1 HD,https://klive.kaltura.com/env/cluster-1-d.live.nvp1/live/hls/p/1719221/e/1_ljzy3evp/tl/main/st/0/t/aG1N1BfzMxQdZwBcLmPaLw/master.m3u8
TeleBielingue,https://edge12.vedge.infomaniak.com/livecast/ik:telebielinguech/master.m3u8
SDF (Suedtirol),https://live.ipstream.it/vb33/vb33.stream/master.m3u8
Adria Music Television,https://folxplay-t.b-cdn.net/streams/ch-1/master.m3u8
Zwei Music Television,https://folxplay-t.b-cdn.net/streams/ch-2/master.m3u8
One Music Television,https://folxplay-t.b-cdn.net/streams/ch-3/master.m3u8
Folx Music Television,https://folxplay-t.b-cdn.net/streams/ch-4/master.m3u8
FolxSlo Music Television,https://folxplay-t.b-cdn.net/streams/ch-5/master.m3u8
OneAdria Music Television,https://folxplay-t.b-cdn.net/streams/ch-6/master.m3u8
Antenne VORARLBERG,https://5857db5306b83.streamlock.net/antennevorarlberg-live/_definst_/mp4:livestream/playlist.m3u8
DELUXE MUSIC,https://sdn-global-live-streaming-packager-cache.3qsdn.com/13456/13456_264_live.m3u8
DELUXE MUSIC ROCK,https://sdn-global-live-streaming-packager-cache.3qsdn.com/65181/65181_264_live.m3u8
DELUXE MUSIC FLASHBACK,https://sdn-global-live-streaming-packager-cache.3qsdn.com/65185/65185_264_live.m3u8
DELUXE MUSIC DANCE,https://sdn-global-live-streaming-packager-cache.3qsdn.com/64733/64733_264_live.m3u8
DELUXE MUSIC RAP,https://sdn-global-live-streaming-packager-cache.3qsdn.com/65183/65183_264_live.m3u8
Schlager DELUXE,https://sdn-global-live-streaming-packager-cache.3qsdn.com/26658/26658_264_live.m3u8
Deutsches Musik Fernsehen,https://d-m-f.iptv-playoutcenter.de/dmf/dmf1/chunks.m3u8
Kronehit TV,http://bitcdn-kronehit.bitmovin.com/v2/hls/playlist.m3u8
Musik_ONE,http://rtmp.one.by:1300
Musik_ONE2,http://rtmp.one.by:2300
MusicTop (Arg),http://live-edge01.telecentro.net.ar/live/smil:musictop.smil/playlist.m3u8
SWR Dasding Studio,https://swrdasdingvr-hls.akamaized.net/hls/live/2018681/dasdingvr/master.m3u8
Radio21,https://live.creacast.com/radio21/smil:radio21.smil/master.m3u8
RockTV,http://fms-https1.mediadirect.ro/live3/_definst_/rocktv/playlist.m3u8
Sonus FM TV,https://60015180a7f57.streamlock.net:444/public/stream_source/chunklist_w1017805699.m3u8
Sky Folk TV (Mac),http://skyfolk.mk/live.m3u8
T-eins,http://live1.markenfunk.com/t1/ngrp:live_all/playlist.m3u8
UNSERDING Studio,https://srde.akamaized.net/hls/live/2031842/visualradio-unserding/master.m3u8
U TV (Rum),http://82.76.40.76:80/utvedge/utvlive/playlist.m3u8
Q Music Nl,https://dpp-qmusicnl-live.akamaized.net/streamx/QmusicNL_720p.m3u8
Schmitten Zell am See,http://s1.live-panorama.com/keblivestreaming/streams/schmittenTVLow.sdp.stream.m3u8
BR Panorama,https://brevent.akamaized.net/hls/live/2028222/event_05/master.m3u8
BR24,https://brevent.akamaized.net/hls/live/2028168/event_08/profile1/1.m3u8
VISIT-X.tv,http://stream.visit-x.tv/vxtv/ngrp:live_all/playlist.m3u8
ARD,https://mcdn.daserste.de/daserste/de/master.m3u8
ARD ONE,https://mcdn.one.ard.de/ardone/hls/master.m3u8
ARD Alpha,https://mcdn.br.de/br/fs/ard_alpha/hls/de/master.m3u8
ARD Tagesschau,https://tagesschau.akamaized.net/hls/live/2020115/tagesschau/tagesschau_1/master.m3u8
ZDF,http://zdf-hls-15.akamaized.net/hls/live/2016498/de/high/master.m3u8
ZDF neo,http://zdf-hls-16.akamaized.net/hls/live/2016499/de/high/master.m3u8
ZDF info,http://zdf-hls-17.akamaized.net/hls/live/2016500/de/high/master.m3u8
MDR Sachsen,https://mdrtvsnhls.akamaized.net/hls/live/2016928/mdrtvsn/master.m3u8
MDR Sachsen-Anhalt,https://mdrtvsahls.akamaized.net/hls/live/2016879/mdrtvsa/master.m3u8
MDR Thüringen,https://mdrtvthhls.akamaized.net/hls/live/2016880/mdrtvth/master.m3u8
PHOENIX,http://zdf-hls-19.akamaized.net/hls/live/2016502/de/high/master.m3u8
RBB Berlin,https://rbb-hls-berlin.akamaized.net/hls/live/2017824/rbb_berlin/master.m3u8
RBB Brandenburg,https://rbb-hls-brandenburg.akamaized.net/hls/live/2017825/rbb_brandenburg/master.m3u8
BR Süd,https://mcdn.br.de/br/fs/bfs_sued/hls/de/master.m3u8
BR Nord,https://mcdn.br.de/br/fs/bfs_nord/hls/de/master.m3u8
HR,https://hrhls.akamaized.net/hls/live/2024525/hrhls/master.m3u8
SR,https://srfs.akamaized.net/hls/live/689649/srfsgeo/index.m3u8
SWR RP,https://swrrpd-hls.akamaized.net/hls/live/2018676/swrrpd/master.m3u8
SWR BW,https://swrbwd-hls.akamaized.net/hls/live/2018672/swrbwd/master.m3u8
NDR Schleswig-Holstein,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_sh/master.m3u8
NDR Niedersachsen,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_nds/master.m3u8
NDR Mecklenburg-Vorpommern,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_mv/master.m3u8
NDR Hamburg,https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_hh/master.m3u8
DW,https://dwamdstream111.akamaized.net/hls/live/2017972/dwstream111/index.m3u8
WDR (weltweit),https://mcdn.wdr.de/wdr/wdrfs/de/master.m3u8
WDR Lokalzeit Münsterland,https://wdrlokalzeit.akamaized.net/hls/live/2018025/wdrlz_muensterland/index.m3u8
WDR Lokalzeit Südwestfalen,https://wdrlokalzeit.akamaized.net/hls/live/2018020/wdrlz_siegen/index.m3u8
WDR Lokalzeit Düsseldorf,https://wdrlokalzeit.akamaized.net/hls/live/2018023/wdrlz_duesseldorf/index.m3u8
WDR Lokalzeit Duisburg,https://wdrlokalzeit.akamaized.net/hls/live/2018024/wdrlz_duisburg/index.m3u8
WDR Lokalzeit Ruhr,https://wdrlokalzeit.akamaized.net/hls/live/2018027/wdrlz_essen/index.m3u8
WDR Lokalzeit Ostwestfalen Lippe,https://wdrlokalzeit.akamaized.net/hls/live/2018026/wdrlz_bielefeld/index.m3u8
WDR Lokalzeit Bonn,https://wdrlokalzeit.akamaized.net/hls/live/2018021/wdrlz_bonn/index.m3u8
WDR Lokalzeit Dortmund,https://wdrlokalzeit.akamaized.net/hls/live/2018022/wdrlz_dortmund/index.m3u8
WDR Lokalzeit Aachen,https://wdrlokalzeit.akamaized.net/hls/live/2018019/wdrlz_aachen/index.m3u8
WDR Lokalzeit Köln,https://wdrlokalzeit.akamaized.net/hls/live/2023550/wdrlz_koeln/index.m3u8
WDR (Deutschland),https://wdrfs247.akamaized.net/hls/live/681509/wdr_msl4_fs247/index.m3u8
WDR Lokalzeit Bergisches Land,https://wdrlokalzeit.akamaized.net/hls/live/2018028/wdrlz_wuppertal/index.m3u8
ARTE FR,https://artesimulcast.akamaized.net/hls/live/2031003/artelive_fr/index.m3u8
ARTE DE,https://artesimulcast.akamaized.net/hls/live/2030993/artelive_de/index.m3u8
3Sat,https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8
kika,https://kikageohls.akamaized.net/hls/live/2022693/livetvkika_de/master.m3u8
ORF-2,https://orf2.mdn.ors.at/out/u/orf2/qxb/manifest.m3u8
ORF-1,https://orf1.mdn.ors.at/out/u/orf1/qxb/manifest.m3u8
ORF-3,https://orf3.mdn.ors.at/out/u/orf3/qxb/manifest.m3u8

